"Shoplifting is a victimless crime, like punching someone in the dark.",Nelson Muntz
Why are you pleople avoiding me? Does my withered face remind you of the grim specter of death?,Abe Simpson
Oh Yeah!,Duffman
"Hey, I'm the chief here. Bake him away, toys.",Chief Wiggum
"Remember the time he ate my goldfish? And you lied and said I never had a goldfish. Then why did I have the bowl, Bart? Why did I have the bowl?",Milhouse Van Houten
I think women and seamen don't mix,Waylon Smithers
Ahh! Sweet liquor eases the pain.,Troy McClure
That's where I saw the leprechaun...He told me to burn things.,Ralph Wiggum
Doughnuts? I told you I don't like ethnic food,Mr. Burns
"Hello, Simpson. I'm riding the bus today becuase Mother hid my car keys to punish me for talking to a woman on the phone. She was right to do it.",Principal Skinner
I think women and seamen don't mix,Waylon Smithers
"I don't want to sound like a killjoy, but becuase this is not to my taste I don't think anyone else should be allowed to enjoy it.",Marge Simpson
Ahh! Sweet liquor eases the pain.,Troy McClure
"Last night's 'Itchy and Scratchy' was, without a doubt, the worst episode ever. Rest assured that I was on the Internet within minutes, registering my disgust throughout the world.",Comic Book Guy
Oh Yeah!,Duffman
"Hello, Simpson. I'm riding the bus today becuase Mother hid my car keys to punish me for talking to a woman on the phone. She was right to do it.",Principal Skinner
I live in a single room above a bowling alley...and below another bowling alley.,Frank Grimes
"Shoplifting is a victimless crime, like punching someone in the dark.",Nelson Muntz
By chilling my loins I increase the chances of impregnating my wife.,Apu Nahasapeemapetilon
You're turning me into a criminal when all I want to be is a petty thug.,Bart Simpson
But my mom says I'm cool.,Milhouse Van Houten
"Last night's 'Itchy and Scratchy' was, without a doubt, the worst episode ever. Rest assured that I was on the Internet within minutes, registering my disgust throughout the world.",Comic Book Guy
"Oh, wow, windows. I don't think I could afford this place.",Otto
By chilling my loins I increase the chances of impregnating my wife.,Apu Nahasapeemapetilon
My eyes! The goggles do nothing!,Rainier Wolfcastle
