Marriage is like a coffin and each kid is another nail.,Homer Simpson
"And this is the snack holder where I can put my beverage or, if you will, cupcake.",Homer Simpson
I hope I didn't brain my damage.,Homer Simpson
"And this is the snack holder where I can put my beverage or, if you will, cupcake.",Homer Simpson
"For once maybe someone will call me ""sir"" without adding, ""You're making a scene.""",Homer Simpson
Facts are meaningless. You could use facts to prove anything that's even remotely true.,Homer Simpson
"All I'm gonna use this bed for is sleeping, eating and maybe building a little fort.",Homer Simpson
I believe the children are the future... Unless we stop them now!,Homer Simpson
"Oh, so they have Internet on computers now!",Homer Simpson
I believe the children are the future... Unless we stop them now!,Homer Simpson
"For once maybe someone will call me ""sir"" without adding, ""You're making a scene.""",Homer Simpson
